"Property.Name","Price","House.Type","Area","Bedrooms","Bathrooms","Receptions","Location","City.County","Postal.Code"
"Queens Road",-0.0834357878717958,"House",0.73521683083454,1.24943476069564,1.24943476069564,1.24943476069564,"Wimbledon","London","SW19 8NY"
"Seward Street",-0.53551875189275,"Flat / Apartment",-0.658946235030659,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Clerkenwell","London","EC1V 3PA"
"Hotham Road",-0.498028945120281,"Flat / Apartment",-0.697795153269805,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Putney","London","SW15 1QL"
"Festing Road",-0.0437406983480047,"House",0.200127956974605,0.590542054646114,0.590542054646114,0.590542054646114,"Putney","London","SW15 1LP"
"Spencer Walk",-0.524492338136142,"Flat / Apartment",-0.74250805916769,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Putney","London","SW15 1PL"
"Craven Hill Gardens",-0.63696175845355,"Flat / Apartment",-0.960208600998376,-1.38613606350247,-1.38613606350247,-1.38613606350247,"","London","W2 3EA"
"Alfriston Road",-0.171647097924665,"House",-0.120925367341355,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW11 6NW"
"Bishops Gate",-0.53551875189275,"New development",-0.845127843195623,-1.38613606350247,-1.38613606350247,-1.38613606350247," Fulham","London","SW6 3LF"
"Adam & Eve Mews",0.280435866096289,"House",-0.296844997103526,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","W8 6UG"
"Hornton Street",-0.414228200570055,"Flat / Apartment",-0.782089975864178,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","W8 4NT"
"Drakefield Road",0.236330211069855,"House",1.23072378799799,1.90832746674517,1.90832746674517,1.90832746674517,"","London","SW17 8RR"
"Cromwell Avenue",0.280435866096289,"House",0.924330432828873,1.90832746674517,1.90832746674517,1.90832746674517,"Highgate","London","N6 5HQ"
"Ashley Park Avenue",0.410547548424271,"House",2.62488685386318,1.24943476069564,1.24943476069564,1.24943476069564,"Walton-on-Thames","Surrey","KT12 1ER"
"Grove End House",-0.502439510622924,"Flat / Apartment",-0.685334179494985,-0.727243357452941,-0.727243357452941,-0.727243357452941," St. John's Wood","London","NW8 9HP"
"Abercorn Mansions",-0.491413096866316,"Flat / Apartment",-0.781356977406836,-0.727243357452941,-0.727243357452941,-0.727243357452941,"17 Abercorn Place","London","NW8 9DY"
"Chester Terrace",4.69100136873975,"House",2.11325393063821,1.90832746674517,1.90832746674517,1.90832746674517,"Regents Park","London","NW1 4ND"
"Cambridge Park",-0.182673511681274,"Flat / Apartment",-0.00804360491062952,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","Twickenham","TW1 2PF"
"Hazelwood Lane",-0.270884821734143,"House",1.31208661676299,1.90832746674517,1.90832746674517,1.90832746674517," Coulsdon","Surrey","CR5 3QW"
"Elsworthy Rise",0.181198142286812,"New development",-0.395799788844746,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Primrose Hill","London","NW3 3DS"
"St. Anns Road",-0.348069718030403,"Duplex",-0.621563313706198,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","Holland Park","W11 4SR"
"Clapham Road",-0.601677234432402,"Flat / Apartment",-0.818006900273955,-1.38613606350247,-1.38613606350247,-1.38613606350247,"","London","SW9 9BT"
"Devonshire Close",1.60360551688933,"House",0.955116368037252,0.590542054646114,0.590542054646114,0.590542054646114,"Marylebone","London","W1G 7BA"
"The Draycott",3.12525061530132,"New development",1.0562701551505,0.590542054646114,0.590542054646114,0.590542054646114,"10 Draycott Avenue","London","SW3 3AA"
"Campden Hill Gardens",-0.303964063003969,"Flat / Apartment",-0.694863159440436,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","W8 7AX"
"College Cross",-0.579624406919185,"Flat / Apartment",-0.904500718240355,-1.38613606350247,-1.38613606350247,-1.38613606350247,"Islington","London","N1 1PT"
"St Mary's Grove",-0.248831994220926,"House",-0.448575677773397,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138," Islington","London","N1 2NT"
"Goldhurst Terrace",-0.469360269353098,"Flat / Apartment",-0.392867795015377,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"South Hampstead","London","NW6 3HR"
"Upper Park Road",0.721492416360635,"House",0.453012424757725,0.590542054646114,0.590542054646114,0.590542054646114,"Belsize Park","London","NW3 2UP"
"Ditton Grove",-0.656831356042959,"New development",-0.768896003632016,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Esher","Surrey","KT10 9FN"
"Roymount Court",-0.645782889458837,"Flat / Apartment",-0.665543221146741,-0.727243357452941,-0.727243357452941,-0.727243357452941," Surbiton","Surrey","KT6 6NW"
"Wetherby House",-0.337043304273795,"Flat / Apartment",-0.82900187713409,-0.727243357452941,-0.727243357452941,-0.727243357452941,"20-21 Wetherby Gardens","London","SW5 0JP"
"Fernside Road",-0.29293764924736,"House",-0.160507284037844,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW12 8LJ"
"Telford Avenue",-0.270884821734143,"House",-0.150978304092393,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW2 4XF"
"Telford Avenue",-0.515671207130855,"Flat / Apartment",-0.562923437118808,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW2 4XQ"
