"","X","Property.Name","Price","House.Type","Area.in.sq.ft","No..of.Bedrooms","No..of.Bathrooms","No..of.Receptions","Location","City.County","Postal.Code"
"1",0,"Queens Road",2144000,"House",2716,5,5,5,"Wimbledon","London","SW19 8NY"
"2",1,"Seward Street",832000,"Flat / Apartment",814,2,2,2,"Clerkenwell","London","EC1V 3PA"
"3",2,"Hotham Road",940800,"Flat / Apartment",761,2,2,2,"Putney","London","SW15 1QL"
"4",3,"Festing Road",2259200,"House",1986,4,4,4,"Putney","London","SW15 1LP"
"5",4,"Spencer Walk",864000,"Flat / Apartment",700,2,2,2,"Putney","London","SW15 1PL"
"6",5,"Craven Hill Gardens",537600,"Flat / Apartment",403,1,1,1,"","London","W2 3EA"
"7",6,"Alfriston Road",1888000,"House",1548,4,4,4,"","London","SW11 6NW"
"8",7,"Bishops Gate",832000,"New development",560,1,1,1," Fulham","London","SW6 3LF"
"9",8,"Adam & Eve Mews",3200000,"House",1308,3,3,3,"","London","W8 6UG"
"10",9,"Hornton Street",1184000,"Flat / Apartment",646,2,2,2,"","London","W8 4NT"
"11",10,"Drakefield Road",3072000,"House",3392,6,6,6,"","London","SW17 8RR"
"12",11,"Cromwell Avenue",3200000,"House",2974,6,6,6,"Highgate","London","N6 5HQ"
"13",12,"Ashley Park Avenue",3577600,"House",5294,5,5,5,"Walton-on-Thames","Surrey","KT12 1ER"
"14",13,"Grove End House",928000,"Flat / Apartment",778,2,2,2," St. John's Wood","London","NW8 9HP"
"15",14,"Abercorn Mansions",960000,"Flat / Apartment",647,2,2,2,"17 Abercorn Place","London","NW8 9DY"
"16",15,"Chester Terrace",1.6e+07,"House",4596,6,6,6,"Regents Park","London","NW1 4ND"
"17",16,"Cambridge Park",1856000,"Flat / Apartment",1702,3,3,3,"","Twickenham","TW1 2PF"
"18",17,"Hazelwood Lane",1600000,"House",3503,6,6,6," Coulsdon","Surrey","CR5 3QW"
"19",18,"Elsworthy Rise",2912000,"New development",1173,3,3,3,"Primrose Hill","London","NW3 3DS"
"20",19,"St. Anns Road",1376000,"Duplex",865,2,2,2,"","Holland Park","W11 4SR"
"21",20,"Clapham Road",640000,"Flat / Apartment",597,1,1,1,"","London","SW9 9BT"
"22",21,"Devonshire Close",7040000,"House",3016,4,4,4,"Marylebone","London","W1G 7BA"
"23",22,"The Draycott",11456000,"New development",3154,4,4,4,"10 Draycott Avenue","London","SW3 3AA"
